epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,1687.84,0.97357,0.46828,0.83622,0.98083,0.97835,0.99205,0.68521,0.87873,0.40522,0.70887,0.0005546,0.0005546,0.0005546
75,1709.57,0.91956,0.4521,0.80314,0.98383,0.9697,0.99268,0.68572,0.89753,0.43967,0.70582,0.0005348,0.0005348,0.0005348
76,1731.41,1.01739,0.47949,0.83864,0.97414,0.97846,0.9931,0.66927,0.93056,0.48768,0.71182,0.000515,0.000515,0.000515
77,1753.17,0.98657,0.46832,0.83683,0.98505,0.9697,0.99132,0.69294,0.83066,0.41618,0.69915,0.0004952,0.0004952,0.0004952
78,1775.12,0.97286,0.45754,0.83657,0.97399,0.9728,0.98869,0.67659,0.86147,0.41515,0.70276,0.0004754,0.0004754,0.0004754
79,1796.94,0.95501,0.4618,0.81171,0.98221,0.95626,0.99006,0.68322,0.88572,0.4468,0.70567,0.0004556,0.0004556,0.0004556
80,1818.85,0.97108,0.4562,0.84218,0.96157,0.97493,0.98941,0.68285,0.88994,0.51473,0.70566,0.0004358,0.0004358,0.0004358
81,1840.76,0.95337,0.45306,0.8328,0.97356,0.95671,0.98347,0.66619,0.93693,0.61774,0.70997,0.000416,0.000416,0.000416
82,1862.68,0.9466,0.44365,0.83455,0.99163,0.96104,0.98971,0.67088,0.93708,0.4686,0.71116,0.0003962,0.0003962,0.0003962
83,1884.49,0.97879,0.46098,0.84632,0.99397,0.96104,0.98941,0.70435,0.82938,0.39243,0.69687,0.0003764,0.0003764,0.0003764
84,1906.45,0.96909,0.45675,0.84105,0.9911,0.9641,0.98239,0.66511,0.98185,0.44352,0.71585,0.0003566,0.0003566,0.0003566
85,1928.38,0.93965,0.43988,0.82824,0.99109,0.96333,0.9888,0.70234,0.86403,0.41703,0.70116,0.0003368,0.0003368,0.0003368
86,1950.25,0.92987,0.4374,0.83273,0.98658,0.95492,0.98815,0.68652,0.89537,0.4266,0.70516,0.000317,0.000317,0.000317
87,1972.09,0.91784,0.43867,0.80831,0.9907,0.97403,0.99099,0.70453,0.87333,0.41543,0.703,0.0002972,0.0002972,0.0002972
88,1993.89,0.90915,0.43055,0.8326,0.99476,0.97403,0.99,0.69392,0.90849,0.41443,0.70735,0.0002774,0.0002774,0.0002774
89,2015.8,0.88424,0.4253,0.8145,0.99098,0.96537,0.99043,0.6997,0.87103,0.39707,0.70204,0.0002576,0.0002576,0.0002576
90,2037.73,0.9429,0.44558,0.82603,0.98978,0.9697,0.99096,0.69725,0.87824,0.40402,0.70214,0.0002378,0.0002378,0.0002378
91,2101.5,0.89507,0.42794,0.83682,0.97797,0.96537,0.98657,0.69852,0.85711,0.40502,0.70143,0.000218,0.000218,0.000218
92,2122.87,0.92029,0.42576,0.81544,0.97752,0.94122,0.9831,0.67823,0.94173,0.43031,0.71251,0.0001982,0.0001982,0.0001982
93,2144.38,0.91329,0.41576,0.82357,0.98584,0.95238,0.98705,0.68645,0.90796,0.42252,0.7058,0.0001784,0.0001784,0.0001784
94,2165.85,0.92558,0.42388,0.83902,0.9858,0.9697,0.98915,0.68224,0.92321,0.42296,0.70827,0.0001586,0.0001586,0.0001586
95,2187.41,0.84534,0.39863,0.78183,0.98523,0.9697,0.98849,0.69937,0.87459,0.42246,0.70272,0.0001388,0.0001388,0.0001388
96,2209.09,0.85563,0.40436,0.80648,0.98904,0.96104,0.98668,0.68181,0.91068,0.43516,0.70739,0.000119,0.000119,0.000119
97,2230.76,0.87354,0.40773,0.83259,0.98771,0.96537,0.9849,0.69283,0.8935,0.43195,0.70459,9.92e-05,9.92e-05,9.92e-05
98,2252.41,0.86057,0.39556,0.80122,0.98688,0.96537,0.98581,0.70117,0.86563,0.42121,0.70259,7.94e-05,7.94e-05,7.94e-05
99,2274.11,0.88206,0.40744,0.84278,0.98237,0.97403,0.98677,0.69832,0.87387,0.42943,0.70425,5.96e-05,5.96e-05,5.96e-05
100,2295.83,0.86099,0.40052,0.81306,0.98608,0.9697,0.98708,0.69295,0.88747,0.43045,0.7065,3.98e-05,3.98e-05,3.98e-05
