epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,1137,1.31168,0.56619,0.79509,0.97501,0.92641,0.98178,0.58035,1.11411,0.99741,0.68071,0.0008714,0.0008714,0.0008714
59,1156.69,1.34813,0.56737,0.79328,0.97326,0.9454,0.98052,0.56838,1.14959,0.71557,0.6836,0.0008516,0.0008516,0.0008516
60,1176.23,1.33156,0.57932,0.81014,0.96092,0.95789,0.98781,0.60573,1.06444,0.48619,0.67573,0.0008318,0.0008318,0.0008318
61,1195.59,1.34702,0.56692,0.80655,0.98593,0.96537,0.98978,0.64524,1.03414,0.48785,0.67283,0.000812,0.000812,0.000812
62,1215.18,1.30821,0.55319,0.80477,0.95184,0.94116,0.97351,0.54068,1.20278,0.66407,0.69061,0.0007922,0.0007922,0.0007922
63,1234.77,1.23646,0.53174,0.79539,0.99082,0.9347,0.96828,0.58589,1.11803,0.49562,0.67957,0.0007724,0.0007724,0.0007724
64,1254.28,1.21981,0.53243,0.77962,0.97361,0.95837,0.99107,0.64215,1.01856,0.47068,0.67374,0.0007526,0.0007526,0.0007526
65,1273.65,1.29325,0.56376,0.80236,0.95721,0.96842,0.99097,0.65858,0.95681,0.82314,0.67008,0.0007328,0.0007328,0.0007328
66,1293.1,1.19936,0.51689,0.79154,0.98235,0.96385,0.99231,0.64132,0.97932,0.42264,0.66773,0.000713,0.000713,0.000713
67,1312.55,1.28585,0.52482,0.77954,0.96109,0.96537,0.9902,0.57913,1.11562,0.50629,0.67863,0.0006932,0.0006932,0.0006932
68,1331.99,1.30089,0.56296,0.77651,0.97847,0.94805,0.98604,0.60976,1.03753,0.45487,0.67305,0.0006734,0.0006734,0.0006734
69,1351.51,1.23434,0.50254,0.79825,0.98683,0.97287,0.99304,0.6581,0.98395,0.44086,0.6673,0.0006536,0.0006536,0.0006536
70,1370.91,1.21223,0.51871,0.79764,0.98377,0.97835,0.99345,0.66305,0.96846,0.57239,0.66559,0.0006338,0.0006338,0.0006338
71,1390.36,1.21358,0.51672,0.77767,0.95854,0.97835,0.99071,0.64257,1.02484,0.64643,0.67378,0.000614,0.000614,0.000614
72,1409.82,1.17194,0.51103,0.8011,0.94074,0.98701,0.99238,0.64645,1.01646,0.71181,0.67227,0.0005942,0.0005942,0.0005942
73,1429.25,1.16526,0.50148,0.78287,0.96462,0.98268,0.99298,0.62293,1.06634,0.42418,0.67616,0.0005744,0.0005744,0.0005744
74,1448.72,1.21101,0.49688,0.7996,0.97826,0.95671,0.98218,0.5622,1.16844,0.60624,0.68293,0.0005546,0.0005546,0.0005546
75,1468.07,1.15379,0.56076,0.76562,0.9734,0.95051,0.98892,0.6492,1.02672,0.45589,0.67005,0.0005348,0.0005348,0.0005348
76,1487.54,1.25259,0.53253,0.78814,0.96528,0.96286,0.98856,0.61394,1.06733,1.62945,0.67488,0.000515,0.000515,0.000515
77,1506.9,1.18828,0.51913,0.78448,0.99114,0.96888,0.99256,0.63481,0.99627,0.59583,0.66741,0.0004952,0.0004952,0.0004952
78,1526.41,1.1972,0.52146,0.79479,0.98496,0.9697,0.99165,0.6433,0.96869,0.55767,0.66541,0.0004754,0.0004754,0.0004754
79,1546,1.17149,0.50174,0.76965,0.97897,0.97403,0.99038,0.63333,1.00888,0.46939,0.67001,0.0004556,0.0004556,0.0004556
80,1565.65,1.17446,0.49708,0.79724,0.98227,0.95958,0.99123,0.64222,1.0042,0.52277,0.6693,0.0004358,0.0004358,0.0004358
81,1585.22,1.18315,0.48016,0.78756,0.98425,0.9697,0.99371,0.65754,0.9502,0.54369,0.66711,0.000416,0.000416,0.000416
82,1604.69,1.16682,0.49176,0.79938,0.98244,0.96878,0.99263,0.60584,1.05995,0.42463,0.67372,0.0003962,0.0003962,0.0003962
83,1624.04,1.1907,0.52621,0.79594,0.97948,0.98268,0.99309,0.66098,0.95431,0.40869,0.6649,0.0003764,0.0003764,0.0003764
84,1643.55,1.20388,0.50828,0.79154,0.98196,0.96537,0.99253,0.62612,1.0363,0.49004,0.67046,0.0003566,0.0003566,0.0003566
85,1662.92,1.15003,0.48716,0.79214,0.98002,0.96104,0.99202,0.64714,1.00213,0.5559,0.67043,0.0003368,0.0003368,0.0003368
86,1682.54,1.12151,0.4664,0.79162,0.9869,0.97822,0.99272,0.64513,0.98934,0.48192,0.66817,0.000317,0.000317,0.000317
